hasFire,elevation,slope,ndvi,road,hydrography,popDens,ocupations,lulc,year
1,779.1519775,2.159199953,0.5857,730.8610229,1666.449951,0.0,5114.488281,4,2007
1,720.2910156,0.309623003,0.4345,2743.570068,60.79959869,0.0123088,9222.817383,4,2007
1,718.7589722,1.038120031,0.5761,2325.139893,30.39979935,0.0,9507.410156,3,2007
1,737.2089844,4.722199917,0.2629,1469.290039,259.7359924,0.292205989,2799.753174,4,2007
1,732.2639771,0.919496,0.5894,1253.420044,887.8610229,0.0,10388.94824,4,2007
1,724.4439697,1.765580058,0.5147,1825.0,60.79959869,0.0123088,10993.88574,4,2007
1,747.9849854,1.776119947,0.4985,823.0430298,825.8449707,0.292205989,1569.3479,4,2007
1,718.5700073,0.51828903,0.5219,472.9100037,125.3420029,0.0,12686.91504,4,2007
1,725.1309814,2.87477994,0.622,177.2599945,151.9989929,0.0123088,12859.14746,4,2007
1,759.2620239,1.105489969,0.4616,1930.810059,945.8200073,0.0123088,4750.350586,3,2007
1,717.7990112,2.287250042,0.2786,2397.149902,128.9750061,0.0123088,9754.922852,3,2007
1,802.7410278,2.293709993,0.5825,1055.27002,2002.23999,0.0,4038.598389,4,2007
1,728.5369873,0.883192003,0.4654,1334.819946,323.1539917,0.0123088,11753.12695,3,2007
1,719.0310059,0.547549009,0.5386,2199.949951,442.6279907,0.0,8753.292969,4,2007
1,719.1420288,1.667430043,0.5135,2905.209961,151.9989929,0.0,7975.239258,4,2007
1,737.2160034,1.879930019,0.3036,1069.189941,759.9949951,0.0,11038.18066,4,2007
1,801.3049927,4.536849976,0.2436,1824.48999,1421.329956,1.195629954,4806.628906,4,2007
1,793.78302,2.653970003,0.4785,1150.780029,2371.379883,0.0,4195.611816,4,2007
1,732.4130249,2.49090004,0.5829,1329.619995,519.4719849,0.0,11442.3623,4,2007
1,758.8209839,2.305320024,0.4954,30.39979935,924.5739746,0.0,7615.800293,4,2007
1,740.3569946,1.481770039,0.5948,2021.300049,395.196991,0.0,8442.717773,4,2007
1,777.6099854,3.438610077,0.4616,271.9039917,1569.349976,0.0,3259.730957,4,2007
1,757.9379883,3.789030075,0.3382,1144.339966,395.196991,0.0123088,3874.63208,4,2007
1,719.4089966,1.808419943,0.576,2044.939941,192.2649994,0.0,9891.477539,12,2007
